Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,15pF,
"C10, C11, C12, C15, C29",0603,5,4.7uF,
"C13, C14, C16, C21, C23, C28, C31, C35, C37, C42, C43, C44, C45, C46, C47, C5, C59, C60, C63, C7",0603,20,100nF,
"C17, C18, C24, C33, C9",0603,5,22uF,
"C19, C20, C22, C25, C30, C34, C38, C39, C48, C51, C66, C8",0603,12,10uF,
"C26, C32",0603,2,3.3nF,
"C27, C6, C67",0603,3,1uF,
"C3, C55, C57, C61, C64",0603,5,10nF,
"C36, C40, C41, C52, C53, C54",0603,6,3.3uF,
"C4, C56, C58, C62, C65",0603,5,4.7uF,
C49,0603,1,2.2uF,
D1,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,1655,
D2,D_SOD-123,1,1N4151W-E3-08,
"D3, D4, D6",DIOM5226X262N,3,CMSH1-40M,
D5,0603,1,GREEN LED,
"J1, J16, J17, J2",Molex_505567-0431,4,505567-0431,
"J10, J11, J12, J13, J14, J15",Molex_205338-0002,6,2053380002,
"J18, J3",Molex_505567-0631,2,505567-0631,
J19,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,1,QWIIC,
J20,SAMTEC_FTSH-105-01-L-DV-007,1,Conn_ARM_JTAG_SWD_10,
J4,Molex_35362-1250,1,35362-1250,
J5,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
"J6, J7",SMA_Amphenol_901-144_horizontal,2,Amphenol_901-144,
J8,PinHeader_1x10_P2.54mm_Vertical,1,Conn_01x10,
J9,USB_C_Receptacle_XKB_U262-161N-4BVC11,1,USB_C_pycubed,
L1,0805,1,3.3uH,
L2,L_2141,1,3.3uH,
"Q1, Q2, Q4, Q5, Q6",DMP2040USS-13,5,DMP2040USS-13,
Q3,SOT-23,1,MMBT2222A,
Q7,SOT-23,1,IRLML2803,
"R1, R25, R35, R48, R9",0603,5,10k,
"R10, R11, R12, R15, R53, R56, R64, R65, R66",0603,9,100k,
R13,0603,1,73.2k,
R14,0603,1,22.1k,
"R16, R20, R23, R3, R30, R33, R36, R38, R4, R42, R44, R52, R54",0603,13,1k,
"R17, R21, R22, R29, R31, R32, R34, R37, R41, R43, R45, R46, R5, R50, R51, R59, R6, R60, R61, R68, R70",0603,21,10k,
R18,0603,1,5,
"R2, R24, R47, R8",0603,4,4.7k,
R26,0603,1,33,
"R27, R28",0603,2,27,
"R39, R40",0603,2,5.1k,
"R49, R57",0603,2,0,
R55,0603,1,4.7M,
"R62, R63",0603,2,3k,
R67,0603,1,4.7k,
R69,0603,1,3.3k,
R7,2512,1,0.02,
"SW1, SW2",BTN_KMR2_4.6X2.8,2,KMR231NG LFS,
"U1, U6, U8",QFN-14_MP6551_MNP,3,MP6551GQB-Z,
U10,RM3100CB,1,RM3100CB,
U11,BMI270,1,BMI270,
U12,Orion_B16,1,Orion B16,
U13,QFN32-5X5MM,1,EP2W+,
"U14, U9",TSSOP-16_4.4x5mm_P0.65mm,2,ADS7830,
U15,SOT-23-5,1,TPS70960DBVR,
U2,RP2350-QFN-80-1EP_10x10_P0.4mm_EP3.4x3.4mm_ThermalVias,1,RP2350_80QFN,
U3,SON127P600X500X90-9N,1,MR25H40MDF,
U4,ADM1176-1ARMZ-R7,1,RM_10,
U5,PWP14_2P31X2P46-L,1,TPS54226PWPR,
U7,TSSOP-14_4.4x5mm_P0.65mm,1,TLV1704,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,
