Designator,Mid X,Mid Y,Rotation,Layer
C1,52.8639,27.4241,0.0,top
C10,55.6639,52.1241,0.0,top
C11,55.6639,50.6241,0.0,top
C12,57.9639,51.3741,90.0,top
C13,61.6639,44.8241,0.0,top
C14,53.8389,35.7741,0.0,top
C15,44.1639,44.7741,180.0,top
C16,61.1759,51.3331,90.0,top
C17,59.7139,56.1741,90.0,top
C18,52.7639,61.3491,270.0,top
C19,62.4139,67.2741,90.0,top
C2,57.0639,29.9741,270.0,top
C20,65.44985,67.2741,90.0,top
C21,59.8639,62.4586,90.0,top
C22,18.6639,65.7741,90.0,top
C23,17.0639,65.7741,90.0,top
C24,17.6639,29.3741,90.0,top
C25,20.8639,28.9741,90.0,top
C26,57.1754,73.3171,180.0,top
C27,58.3819,75.0951,180.0,top
C28,61.6639,43.2741,0.0,top
C29,53.9639,85.3741,0.0,top
C3,72.6639,46.7741,180.0,top
C30,80.8639,73.3241,180.0,top
C31,19.2639,28.9741,90.0,top
C32,68.8139,58.3741,0.0,top
C33,15.8639,53.7741,90.0,top
C34,18.9939,53.7741,90.0,top
C35,17.4439,53.7741,90.0,top
C36,25.4639,26.0741,0.0,top
C37,58.6639,38.9741,270.0,top
C38,76.814901,63.032101,180.0,top
C39,73.2339,65.8841,180.0,top
C4,75.8639,52.7741,90.0,top
C40,20.9639,21.4241,270.0,top
C41,24.5639,45.7741,270.0,top
C42,50.3139,32.8741,270.0,top
C43,48.865892,36.2741,225.0,top
C44,51.8639,51.6241,135.0,top
C45,49.2139,52.3491,90.0,top
C46,44.1639,46.3741,180.0,top
C47,42.3639,39.9741,225.0,top
C48,70.2339,65.8841,0.0,top
C49,71.9139,85.3241,90.0,top
C5,47.8639,75.3741,180.0,top
C51,73.8659,78.4971,180.0,top
C52,19.1139,42.9741,180.0,top
C53,21.5539,65.0441,180.0,top
C54,20.7789,57.2541,270.0,top
C55,41.7139,68.8741,90.0,top
C56,43.2639,68.8741,90.0,top
C57,6.3639,13.4241,90.0,top
C58,7.9639,13.4241,90.0,top
C59,67.1639,25.5741,90.0,top
C6,67.1639,22.5491,270.0,top
C60,35.4639,45.4741,0.0,top
C61,30.8639,38.6741,0.0,top
C62,30.8639,37.1241,0.0,top
C63,30.8639,35.5741,0.0,top
C64,73.5639,61.8241,90.0,top
C65,76.3389,61.0241,0.0,top
C66,65.6639,25.5741,90.0,top
C67,77.9139,85.3241,90.0,top
C7,47.4639,63.0741,90.0,top
C8,35.2639,52.8241,180.0,top
C9,15.4639,65.7741,90.0,top
D1,47.0639,70.8241,270.0,top
D2,65.2639,75.4241,270.0,top
D3,62.5639,60.7241,270.0,top
D4,56.118761,82.6741,180.0,top
D5,44.1639,78.4741,0.0,top
D6,64.7639,80.8741,0.0,top
J1,78.0697,16.1991,270.0,top
J10,12.4139,71.702599,90.0,top
J11,12.4139,49.102599,90.0,top
J12,12.4139,26.502599,90.0,top
J13,12.4139,83.0026,90.0,top
J14,12.4139,60.4026,90.0,top
J15,12.4139,37.8026,90.0,top
J16,78.0697,37.1991,270.0,top
J17,78.0697,47.6991,270.0,top
J18,67.646025,13.223676,180.0,top
J19,21.7639,37.8741,90.0,top
J2,78.0697,26.6991,270.0,top
J20,45.9989,24.6091,0.0,top
J3,55.221024,13.224366,180.0,top
J4,84.7139,70.804101,270.0,bottom
J5,61.4639,25.9641,180.0,top
J6,34.1139,89.0241,180.0,bottom
J7,19.3139,89.0241,270.0,bottom
J8,43.6539,17.1741,90.0,top
J9,47.2159,90.7786,180.0,top
L1,55.886203,54.156797,0.0,top
L2,56.4769,60.7441,270.0,top
Q1,76.1639,57.6741,90.0,top
Q2,70.8639,50.0622,270.0,top
