"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"SC2,SC4,SC1,SC6,SC3,SC5";"SM101K07TF";6;"SM101K07TF";;;
2;"D7,D8";"Osram_SFH2430";2;"SFH2430";;;
3;"D0,D6,D4,D2,D3,D1,D5";"DO-214AC";7;"CDBA240LL";;;
4;"AE2";"WPC.25A";1;"WPC.25A";;;
5;"AE1";"UHF_Dipole_Antenna_Mount";1;"UHF_Dipole_Antenna";;;
6;"U2";"HHM1589D1";1;"HHM1589D1";;;
7;"C1,C3";"C_0603_1608Metric";2;"1nF";;;
8;"U1";"LTC2051IS8_PBF";1;"LTC2051IS8_PBF";;;
9;"R2,R1";"R_0603_1608Metric";2;"3.9k";;;
10;"J2";"Molex_5055670431";1;"Conn_01x04_MountingPin";;;
11;"C4,C2";"C_0603_1608Metric";2;"0.1uF";;;
12;"J4";"Molex_205338-0004";1;"Conn_01x04_MountingPin";;;
13;"J1";"SMA_Amphenol_901-144_horizontal";1;"Amphenol_901-144";;;
